slide_id,acinar,lepidic,micropapillary,papillary,solid,in situ,cribriform
WSI-196,0,0,0,0,0,0,1
WSI-197,0,0,0,0,0,0,1
WSI-198,0,0,1,0,0,0,0
WSI-201,0,0,0,0,0,0,1
WSI-203,0,0,1,0,0,0,0
WSI-204,0,0,0,0,1,0,0
WSI-205,0,0,0,0,1,0,0
WSI-206,0,0,0,0,1,0,0
WSI-207,0,0,0,0,1,0,0
WSI-209,0,0,0,1,0,0,0
WSI-210,0,0,0,1,0,0,0
WSI-211,0,0,0,0,0,0,1
WSI-212,0,0,0,0,0,0,1
WSI-213,0,0,0,1,0,0,0
WSI-215,0,0,0,1,0,0,0
WSI-216,0,0,0,1,0,0,0
WSI-217,0,0,0,1,0,0,0
WSI-218,0,0,0,1,0,0,0
WSI-219,0,0,0,1,0,0,0
WSI-221,0,0,0,1,0,0,0
WSI-222,0,0,0,1,0,0,0
WSI-223,0,0,0,1,0,0,0
WSI-224,0,0,0,0,1,0,0
WSI-225,0,0,0,0,1,0,0
WSI-227,0,0,0,0,0,0,1
WSI-231,0,0,1,0,0,0,0
WSI-232,0,0,0,0,1,0,0
WSI-235,0,0,0,0,0,0,1
WSI-236,0,0,0,0,0,0,1
WSI-237,0,0,0,0,0,0,1
WSI-238,0,0,1,0,0,0,0
WSI-239,0,0,1,0,0,0,0
WSI-240,0,0,1,0,0,0,0
WSI-241,0,0,0,0,1,0,0
WSI-242,0,0,0,0,1,0,0
WSI-244,0,0,0,0,0,0,1
WSI-245,0,0,0,0,0,0,1
WSI-246,0,0,0,0,0,0,1
WSI-247,0,0,0,0,0,0,1
WSI-249,0,0,0,1,0,0,0
WSI-250,0,0,0,1,0,0,0
WSI-253,0,0,1,0,0,0,0
WSI-254,0,0,1,0,0,0,0
WSI-255,0,0,0,0,1,0,0
WSI-257,0,0,0,0,1,0,0
WSI-259,0,0,1,0,0,0,0
WSI-260,0,0,1,0,0,0,0
WSI-262,0,0,0,0,1,0,0
WSI-263,0,0,0,0,1,0,0
WSI-265,0,0,0,1,0,0,0
WSI-266,0,0,0,1,0,0,0
WSI-267,0,0,0,0,0,0,1
WSI-268,0,0,0,0,0,0,1
WSI-269,0,0,0,1,0,0,0
WSI-270,0,0,0,1,0,0,0
WSI-271,0,0,0,1,0,0,0
WSI-272,0,0,0,1,0,0,0
WSI-274,0,0,0,0,0,0,1
WSI-275,1,0,0,0,0,0,0
WSI-276,1,0,0,0,0,0,0
WSI-277,0,0,1,0,0,0,0
WSI-278,0,0,1,0,0,0,0
WSI-280,1,0,0,0,0,0,0
WSI-281,1,0,0,0,0,0,0
WSI-284,0,1,0,0,0,0,0
WSI-286,1,0,0,0,0,0,0
WSI-287,1,0,0,0,0,0,0
WSI-289,1,0,0,0,0,0,0
WSI-292,0,0,0,1,0,0,0
WSI-293,0,0,0,1,0,0,0
WSI-294,0,0,0,1,0,0,0
WSI-295,0,1,0,0,0,0,0
WSI-296,0,1,0,0,0,0,0
WSI-297,0,0,0,1,0,0,0
WSI-298,0,0,0,1,0,0,0
WSI-301,1,0,0,0,0,0,0
WSI-302,0,0,1,0,0,0,0
WSI-303,0,0,1,0,0,0,0
WSI-305,1,0,0,0,0,0,0
WSI-306,1,0,0,0,0,0,0
WSI-307,1,0,0,0,0,0,0
WSI-309,0,1,0,0,0,0,0
WSI-310,1,0,0,0,0,0,0
WSI-313,1,0,0,0,0,0,0
WSI-315,0,1,0,0,0,0,0
WSI-316,0,1,0,0,0,0,0
WSI-317,0,1,0,0,0,0,0
WSI-318,0,1,0,0,0,0,0
WSI-319,0,1,0,0,0,0,0
WSI-321,1,0,0,0,0,0,0
WSI-322,0,0,1,0,0,0,0
WSI-323,0,0,1,0,0,0,0
WSI-324,0,0,1,0,0,0,0
WSI-325,0,1,0,0,0,0,0
WSI-326,0,1,0,0,0,0,0
WSI-327,0,0,1,0,0,0,0
WSI-328,0,0,1,0,0,0,0
WSI-329,1,0,0,0,0,0,0
WSI-330,1,0,0,0,0,0,0
WSI-331,0,0,1,0,0,0,0
WSI-332,0,0,1,0,0,0,0
WSI-333,0,0,1,0,0,0,0
WSI-334,0,0,0,1,0,0,0
WSI-335,0,0,0,1,0,0,0
WSI-336,0,0,1,0,0,0,0
WSI-337,0,0,1,0,0,0,0
WSI-340,0,0,1,0,0,0,0
WSI-341,0,1,0,0,0,0,0
WSI-343,0,1,0,0,0,0,0
WSI-345,0,0,0,0,0,1,0
WSI-348,0,0,0,1,0,0,0
WSI-349,1,0,0,0,0,0,0
WSI-350,0,1,0,0,0,0,0
WSI-352,1,0,0,0,0,0,0
WSI-353,0,0,0,0,0,1,0
WSI-354,1,0,0,0,0,0,0
WSI-355,1,0,0,0,0,0,0
WSI-356,0,0,0,1,0,0,0
WSI-357,0,0,0,0,0,1,0
WSI-358,0,0,0,0,0,1,0
WSI-360,1,0,0,0,0,0,0
WSI-361,0,0,0,0,1,0,0
WSI-362,0,0,0,0,0,1,0
WSI-363,1,0,0,0,0,0,0
WSI-364,0,1,0,0,0,0,0
WSI-365,1,0,0,0,0,0,0
WSI-366,1,0,0,0,0,0,0
WSI-368,0,0,0,1,0,0,0
WSI-369,1,0,0,0,0,0,0
WSI-370,0,1,0,0,0,0,0
WSI-371,1,0,0,0,0,0,0
WSI-373,0,0,0,0,0,1,0
WSI-374,0,0,0,0,0,1,0
WSI-375,0,0,0,0,0,0,1
WSI-376,1,0,0,0,0,0,0
WSI-377,0,0,0,0,1,0,0
WSI-378,0,0,0,0,0,1,0
WSI-379,0,0,0,0,0,1,0
WSI-382,0,0,0,1,0,0,0
WSI-383,0,0,0,0,0,1,0
WSI-385,1,0,0,0,0,0,0
WSI-387,0,0,0,0,0,1,0
WSI-390,0,1,0,0,0,0,0
WSI-391,0,1,0,0,0,0,0
WSI-393,1,0,0,0,0,0,0
WSI-394,1,0,0,0,0,0,0
WSI-395,1,0,0,0,0,0,0
WSI-396,0,1,0,0,0,0,0
WSI-397,1,0,0,0,0,0,0
WSI-398,0,1,0,0,0,0,0
WSI-399,1,0,0,0,0,0,0
WSI-400,1,0,0,0,0,0,0
WSI-401,0,1,0,0,0,0,0
WSI-402,1,0,0,0,0,0,0
WSI-403,1,0,0,0,0,0,0
WSI-404,0,0,0,0,0,1,0
WSI-405,0,0,0,0,1,0,0
WSI-406,0,0,0,0,0,1,0
WSI-407,0,0,0,0,0,1,0
