slide_id,acinar,lepidic,micropapillary,papillary,solid,in situ,cribriform
WSI-295,0,1,0,0,0,0,0
WSI-296,0,1,0,0,0,0,0
WSI-298,0,0,0,1,0,0,0
WSI-299,0,0,0,1,0,0,0
WSI-301,1,0,0,0,0,0,0
WSI-302,0,0,1,0,0,0,0
WSI-303,0,0,1,0,0,0,0
WSI-304,1,0,0,0,0,0,0
WSI-305,1,0,0,0,0,0,0
WSI-307,1,0,0,0,0,0,0
WSI-308,0,1,0,0,0,0,0
WSI-309,0,1,0,0,0,0,0
WSI-311,0,1,0,0,0,0,0
WSI-312,0,1,0,0,0,0,0
WSI-313,1,0,0,0,0,0,0
WSI-314,1,0,0,0,0,0,0
WSI-317,0,1,0,0,0,0,0
WSI-318,0,1,0,0,0,0,0
WSI-319,0,1,0,0,0,0,0
WSI-320,1,0,0,0,0,0,0
WSI-321,1,0,0,0,0,0,0
WSI-322,0,0,1,0,0,0,0
WSI-323,0,0,1,0,0,0,0
WSI-324,0,0,1,0,0,0,0
WSI-325,0,1,0,0,0,0,0
WSI-326,0,1,0,0,0,0,0
WSI-327,0,0,1,0,0,0,0
WSI-328,0,0,1,0,0,0,0
WSI-330,1,0,0,0,0,0,0
WSI-331,0,0,1,0,0,0,0
WSI-332,0,0,1,0,0,0,0
WSI-334,0,0,0,1,0,0,0
WSI-336,0,0,1,0,0,0,0
WSI-338,0,0,1,0,0,0,0
WSI-340,0,0,1,0,0,0,0
WSI-342,0,1,0,0,0,0,0
WSI-343,0,1,0,0,0,0,0
WSI-344,0,1,0,0,0,0,0
WSI-345,0,0,0,0,0,1,0
WSI-348,0,0,0,1,0,0,0
WSI-349,1,0,0,0,0,0,0
WSI-350,0,1,0,0,0,0,0
WSI-355,1,0,0,0,0,0,0
WSI-357,0,0,0,0,0,1,0
WSI-358,0,0,0,0,0,1,0
WSI-360,1,0,0,0,0,0,0
WSI-361,0,0,0,0,1,0,0
WSI-363,1,0,0,0,0,0,0
WSI-364,0,1,0,0,0,0,0
WSI-365,1,0,0,0,0,0,0
WSI-367,0,0,0,1,0,0,0
WSI-371,1,0,0,0,0,0,0
WSI-374,0,0,0,0,0,1,0
WSI-376,1,0,0,0,0,0,0
WSI-377,0,0,0,0,1,0,0
WSI-378,0,0,0,0,0,1,0
WSI-379,0,0,0,0,0,1,0
WSI-380,1,0,0,0,0,0,0
WSI-382,0,0,0,1,0,0,0
WSI-383,0,0,0,0,0,1,0
WSI-384,0,0,0,0,0,1,0
WSI-385,1,0,0,0,0,0,0
WSI-387,0,0,0,0,0,1,0
WSI-388,0,0,0,0,0,1,0
WSI-389,0,1,0,0,0,0,0
WSI-390,0,1,0,0,0,0,0
WSI-392,0,0,0,0,0,1,0
WSI-393,1,0,0,0,0,0,0
WSI-394,1,0,0,0,0,0,0
WSI-395,1,0,0,0,0,0,0
WSI-396,0,1,0,0,0,0,0
WSI-397,1,0,0,0,0,0,0
WSI-398,0,1,0,0,0,0,0
WSI-399,1,0,0,0,0,0,0
WSI-400,1,0,0,0,0,0,0
WSI-401,0,1,0,0,0,0,0
WSI-402,1,0,0,0,0,0,0
WSI-403,1,0,0,0,0,0,0
WSI-404,0,0,0,0,0,1,0
WSI-405,0,0,0,0,1,0,0
WSI-406,0,0,0,0,0,1,0
WSI-407,0,0,0,0,0,1,0
WSI-408,0,0,1,0,0,0,0
